Water.System.No.,Unnamed,Regulating Agency,System Name,Fed Type,State Type,DS Class,Max TP Class,Fee Code,SC,Pop,Last SNSV,tag,log SC
410006,65,DISTRICT 21 - VALLEY,SFWP-MINERS RANCH,C,C,D3,T4,DAVCL,6790,22407,7/29/2020,Bin D,3.8318697742805
1910013,60,DISTRICT 07 - HOLLYWOOD,BELLFLOWER - SOMERSET MWC,C,C,D3,T1,DAVCL,6937,46300,12/5/2019,Bin D,3.8411716944995296
3310044,68,DISTRICT 20 - RIVERSIDE,RUBIDOUX COMMUNITY SD,C,C,D3,T3,C1,6675,32400,6/22/2020,Bin D,3.82445127003661
1510055,64,DISTRICT 12 - VISALIA,CWS - NORTH GARDEN,C,C,D3,T4,C1,6843,24313,10/17/2018,Bin D,3.83524653999631
3710008,17,DISTRICT 14 - SAN DIEGO,FALLBROOK PUD,C,C,D4,T3,C1,9107,34894,12/16/2015,Bin D,3.95937533657584
3110005,28,DISTRICT 02 - LASSEN,PLACER CWA - AUBURN/BOWMAN,C,C,D4,T4,C1,8491,27902,5/15/2019,Bin D,3.9289588408808305
4910014,10,DISTRICT 18 - SONOMA,"ROHNERT PARK, CITY OF",C,C,D4,T2,C1,9505,42067,9/25/2019,Bin D,3.9779521212014597
2710017,34,DISTRICT 05 - MONTEREY,MARINA COAST WATER DISTRICT,C,C,D4,TD,C1,8295,35361,10/26/2017,Bin D,3.9188163903603797
5010018,63,DISTRICT 10 - STOCKTON,"RIVERBANK, CITY OF",C,C,D3,There are no treatment plants,C1,6867,25244,7/3/2019,Bin D,3.83676704739421
4810005,29,DISTRICT 04 - SAN FRANCISCO,SUISUN-SOLANO WATER AUTHORITY,C,C,D4,T4,C1,8436,29917,12/12/2018,Bin D,3.92613657106745
4910017,21,DISTRICT 18 - SONOMA,"WINDSOR, TOWN OF",C,C,D4,T3,C1,8917,28209,4/9/2013,Bin D,3.9502187666418602
3710026,19,DISTRICT 14 - SAN DIEGO,VALLEY CENTER MWD,C,C,D4,There are no treatment plants,C1,8990,25766,10/19/2017,Bin D,3.9537596917332296
710006,1,DISTRICT 04 - SAN FRANCISCO,CITY OF MARTINEZ,C,C,D3,T5,C1,9944,35375,12/6/2017,Bin D,3.9975611156335895
1910011,50,DISTRICT 15 - METROPOLITAN,"GSWC - BELL, BELL GARDENS",C,C,D4,T2,C1,7332,58039,11/15/2018,Bin D,3.86522245629018
1910021,58,DISTRICT 22 - ANGELES,LIBERTY UTILITIES - COMPTON,C,C,D3,T1,C1,6978,23802,12/12/2017,Bin D,3.84373096511209
4110018,72,DISTRICT 17 - SANTA CLARA,CITY OF MILLBRAE,C,C,D3,There are no treatment plants,C1,6458,22795,4/3/2019,Bin D,3.81009804068114
1910212,46,DISTRICT 07 - HOLLYWOOD,GSWC-SOUTH ARCADIA,C,C,D3,T2,C1,7451,26970,10/12/2018,Bin D,3.87221456339759
1910098,12,DISTRICT 15 - METROPOLITAN,GSWC - NORWALK,C,C,D4,T2,C1,9341,43874,9/25/2018,Bin D,3.9703933720796
1910077,7,DISTRICT 15 - METROPOLITAN,GSWC - FLORENCE/GRAHAM,C,C,D3,T2,C1,9682,66203,10/17/2017,Bin D,3.9859650783048703
3710019,9,DISTRICT 14 - SAN DIEGO,RAMONA MUNICIPAL WD,C,C,D4,There are no treatment plants,C1,9507,33865,6/10/2019,Bin D,3.9780434939099596
1610005,54,DISTRICT 12 - VISALIA,"LEMOORE, CITY OF",C,C,D3,T3,C1,7028,26093,10/23/2019,Bin D,3.8468317528232596
3310025,48,DISTRICT 20 - RIVERSIDE,"NORCO, CITY OF",C,C,D4,T2,C1,7422,27564,2/15/2018,Bin D,3.8705209500127595
3910015,51,DISTRICT 10 - STOCKTON,CITY OF LATHROP,C,C,D3,T3,C1,7303,24268,6/28/2018,Bin D,3.8635013006414503
1510005,3,DISTRICT 12 - VISALIA,"DELANO, CITY OF",C,C,D4,T3,DAVCL,9890,53936,12/13/2018,Bin D,3.99519629159718
110011,6,DISTRICT 04 - SAN FRANCISCO,CITY OF LIVERMORE,C,C,D4,There are no treatment plants,C1,9698,30000,10/24/2018,Bin D,3.98668217977951
5610016,61,DISTRICT 06 - SANTA BARBARA,CALIFORNIA WATER SERVICE CO - WESTLAKE,C,C,D4,There are no treatment plants,C1,6900,19445,5/8/2018,Bin D,3.83884909073726
1910204,45,DISTRICT 16 - CENTRAL,LOS ANGELES CWWD 29 & 80-MALIBU,C,C,D4,T1,C1,7498,31204,6/24/2015,Bin D,3.8749454360855298
3410011,49,DISTRICT 09 - SACRAMENTO,"GALT, CITY OF",C,C,D3,T2,C1,7390,26536,2/20/2020,Bin D,3.8686444383948304
1910079,16,DISTRICT 22 - ANGELES,"LYNWOOD-CITY, WATER DEPT.",C,C,D5,TD,DAVCL,9136,70492,12/11/2017,Bin D,3.96075609090177
3610001,33,DISTRICT 13 - SAN BERNARDINO,"ADELANTO, CITY OF",C,C,D3,T2,DAVCL,8301,31765,3/23/2017,Bin D,3.9191304138606102
3010017,26,DISTRICT 08 - SANTA ANA,LAGUNA BEACH COUNTY WD,C,C,D3,There are no treatment plants,C1,8662,23309,3/14/2017,Bin D,3.9376181793938194
1310002,30,DISTRICT 14 - SAN DIEGO,"CALEXICO, CITY OF",C,C,D4,T4,C1,8431,40357,9/27/2019,Bin D,3.9258790893014996
4810001,5,DISTRICT 04 - SAN FRANCISCO,CITY OF BENICIA,C,C,D3,T4,C1,9814,28000,3/23/2017,Bin D,3.9918460536449
3710023,71,DISTRICT 14 - SAN DIEGO,SANTA FE I.D.,C,C,D4,T5,C1,6461,24509,11/15/2018,Bin D,3.81029974104017
2410001,31,DISTRICT 11 - MERCED,CITY OF ATWATER,C,C,D3,T2,DAVCL,8419,29479,8/23/2018,Bin D,3.9252605095194397
3510001,55,DISTRICT 05 - MONTEREY,"HOLLISTER, CITY OF",C,C,D3,TD,C1,6996,19281,11/16/2018,Bin D,3.8448498008066405
1910105,47,DISTRICT 07 - HOLLYWOOD,"PARAMOUNT - CITY, WATER DEPT.",C,C,D4,T2,DAVCL,7429,56000,3/13/2019,Bin D,3.8709303583487005
1910186,52,DISTRICT 07 - HOLLYWOOD,CAL-AM WATER COMPANY - DUARTE,C,C,D4,TD,C1,7279,24020,11/12/2019,Bin D,3.86207171937999
5010014,41,DISTRICT 10 - STOCKTON,"OAKDALE, CITY OF",C,C,D3,There are no treatment plants,C1,7648,22348,8/14/2019,Bin D,3.8835478792680402
